IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.972078716188034,0.9222644923629006,0.946451619888982,331.6,28.4,9.5
0.12,0.972078716188034,0.9222644923629006,0.946451619888982,331.6,28.4,9.5
0.14,0.9718120495213673,0.9220169676104254,0.9461948804794826,331.5,28.5,9.6
0.16,0.9714389151930092,0.9216623576813474,0.9458312441158462,331.4,28.6,9.7
0.18,0.9714389151930092,0.9216623576813474,0.9458312441158462,331.4,28.6,9.7
0.2,0.9711254355691847,0.9213584063135661,0.9455226021405376,331.3,28.7,9.8
0.22,0.9708815331301605,0.9211341910669294,0.9452889572807246,331.2,28.8,9.9
0.24,0.9706148664634936,0.9208866663144543,0.9450322178712252,331.1,28.9,10.0
0.26,0.9703099884147133,0.9205976489734138,0.9447354819661807,331.0,29.0,10.1
0.28,0.9700322106369355,0.9203316915266052,0.944463742835746,330.9,29.1,10.2
0.3,0.9693494787853574,0.9196863839231085,0.9438002563971469,330.7,29.3,10.4
0.32,0.968364717941961,0.918745137605371,0.9428377693248408,330.4,29.6,10.7
0.34,0.9680512383181366,0.91844118623759,0.942529127349532,330.3,29.7,10.8
0.36,0.9674787612539164,0.91790040635315,0.941972986742428,330.1,29.9,11.0
0.38,0.9666623817506718,0.917135411222073,0.9411832012755108,329.8,30.2,11.3
0.4,0.9655552868512451,0.9160897742290535,0.9401078683829711,329.4,30.6,11.7
0.42,0.9626257743639334,0.913311257042875,0.937256007429619,328.4,31.6,12.7
0.44,0.960861530214115,0.911622489774149,0.9355303551170084,327.8,32.2,13.3
0.46,0.9576725800706433,0.9086016268364661,0.9324279625747464,326.7,33.3,14.4
0.48,0.9550149784211668,0.906080295961431,0.9298405291744796,325.8,34.2,15.3
0.5,0.9511627491892677,0.9024176468258507,0.9260857521704485,324.5,35.5,16.6
0.52,0.946361127159055,0.8978672919590783,0.9214134615945241,322.9,37.1,18.2
