IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9705007146919051,0.9224410589447549,0.94571233742478,331.0,27.9,10.1
0.12,0.9705007146919051,0.9224410589447549,0.94571233742478,331.0,27.9,10.1
0.14,0.9705007146919051,0.9224410589447549,0.94571233742478,331.0,27.9,10.1
0.16,0.9705007146919051,0.9224410589447549,0.94571233742478,331.0,27.9,10.1
0.18,0.9705007146919051,0.9224410589447549,0.94571233742478,331.0,27.9,10.1
0.2,0.9702340480252385,0.9221878943877929,0.9454525971650398,330.9,28.0,10.2
0.22,0.9702340480252385,0.9221878943877929,0.9454525971650398,330.9,28.0,10.2
0.24,0.9699562702474607,0.921926114283081,0.9451830553860641,330.8,28.1,10.3
0.26,0.9696784924696829,0.9216643341783689,0.9449135136070883,330.7,28.2,10.4
0.28,0.9693650128458584,0.9213702165313101,0.9446100234705177,330.6,28.3,10.5
0.3,0.9693650128458584,0.9213702165313101,0.9446100234705177,330.6,28.3,10.5
0.32,0.9688115128836143,0.9208412943220796,0.9440691052780921,330.4,28.5,10.7
0.34,0.968198954019803,0.920235211454022,0.9434598103988605,330.2,28.7,10.9
0.36,0.9670222819355763,0.9191116833645803,0.9423105197896244,329.8,29.1,11.3
0.38,0.9664498048713561,0.9185529982092007,0.941745098254767,329.6,29.3,11.5
0.4,0.9650609483038913,0.9172058557015349,0.9403776261240745,329.1,29.8,12.0
0.42,0.9629463283334259,0.9151992375285436,0.9383188923605429,328.4,30.5,12.7
0.44,0.9606440256559038,0.9129865862236187,0.9360625194106651,327.6,31.3,13.5
0.46,0.9585105235584008,0.9109521858749444,0.9339802132171606,326.9,32.0,14.2
0.48,0.9562192781944431,0.908784292759883,0.9317525105313269,326.1,32.8,15.0
0.5,0.9517093254351068,0.9044544208234886,0.9273352190070732,324.6,34.3,16.5
0.52,0.9459789286766377,0.8990201350854188,0.9217577023095289,322.6,36.3,18.5
