IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9767316868546926,0.9212711619124757,0.9480979146089604,333.0,28.8,8.1
0.12,0.9767316868546926,0.9212711619124757,0.9480979146089604,333.0,28.8,8.1
0.14,0.9764877844156683,0.9210423289605307,0.9478617871001056,332.9,28.9,8.2
0.16,0.9762438819766439,0.9208134960085855,0.947625659591251,332.8,29.0,8.3
0.18,0.9762438819766439,0.9208134960085855,0.947625659591251,332.8,29.0,8.3
0.2,0.9762438819766439,0.9208134960085855,0.947625659591251,332.8,29.0,8.3
0.22,0.9762438819766439,0.9208134960085855,0.947625659591251,332.8,29.0,8.3
0.24,0.9758707476482856,0.9204613833325291,0.9472633407506713,332.7,29.1,8.4
0.26,0.9752992029328386,0.9199184401248296,0.9467064818672852,332.5,29.3,8.6
0.28,0.9749896054096187,0.9196327258391153,0.9464093050470772,332.4,29.4,8.7
0.3,0.9749896054096187,0.9196327258391153,0.9464093050470772,332.4,29.4,8.7
0.32,0.9746837950120651,0.9193461928878259,0.9461134470589115,332.3,29.5,8.8
0.34,0.9744398925730409,0.9191173599358808,0.9458773195500567,332.2,29.6,8.9
0.36,0.9732949384446004,0.9180433849993858,0.9447690636244124,331.8,30.0,9.3
0.38,0.9718615221739733,0.9167025746906436,0.9433835297371411,331.3,30.5,9.8
0.4,0.9694266914221167,0.9144268714001011,0.9410309868013845,330.5,31.3,10.6
0.42,0.9685446168346766,0.9135982139066872,0.9401765140845141,330.2,31.6,10.9
0.44,0.9667521924849405,0.9119098513281962,0.9384377875371419,329.6,32.2,11.5
0.46,0.9649614276652315,0.9102198459980914,0.9366990509947837,329.0,32.8,12.1
0.48,0.9617531034604095,0.907196565164497,0.9335862513932675,327.9,33.9,13.2
0.5,0.9568264897131951,0.9025458386717963,0.9288020043452672,326.3,35.5,14.8
0.52,0.9497802405643133,0.8959257304497388,0.9219757140062212,324.0,37.8,17.1
