IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9736588052293224,0.9246352589238722,0.9483939854749837,332.0,27.4,9.1
0.12,0.9736588052293224,0.9246352589238722,0.9483939854749837,332.0,27.4,9.1
0.14,0.973414902790298,0.9244048441773284,0.948157018650339,331.9,27.5,9.2
0.16,0.973414902790298,0.9244048441773284,0.948157018650339,331.9,27.5,9.2
0.18,0.973414902790298,0.9244048441773284,0.948157018650339,331.9,27.5,9.2
0.2,0.973414902790298,0.9244048441773284,0.948157018650339,331.9,27.5,9.2
0.22,0.9731482361236313,0.9241638803219068,0.947903854093377,331.8,27.6,9.3
0.24,0.9728424257260778,0.9238706251899419,0.9476044528957722,331.7,27.7,9.4
0.26,0.9721558117738951,0.923224001770115,0.9469384619519271,331.5,27.9,9.6
0.28,0.9721558117738951,0.923224001770115,0.9469384619519271,331.5,27.9,9.6
0.3,0.9718780339961175,0.922960843875378,0.9466681916816568,331.4,28.0,9.7
0.32,0.9718780339961175,0.922960843875378,0.9466681916816568,331.4,28.0,9.7
0.34,0.9718780339961175,0.922960843875378,0.9466681916816568,331.4,28.0,9.7
0.36,0.9698698874072746,0.9210693348244916,0.9447204134366445,330.7,28.7,10.4
0.38,0.9692544794865012,0.9204784606449078,0.9441175221024691,330.5,28.9,10.6
0.4,0.968721146153168,0.9199965329340645,0.9436111929885451,330.3,29.1,10.8
0.42,0.966219229201746,0.9176338585206374,0.9411812515612501,329.5,29.9,11.6
0.44,0.9643188654598861,0.9158556775100429,0.9393444716756889,328.8,30.6,12.3
0.46,0.9612601745294593,0.9129337508784403,0.9363560619288307,327.7,31.7,13.4
0.48,0.9598820330098217,0.911615303539374,0.9350085054438855,327.2,32.2,13.9
0.5,0.9572559115848922,0.9091382078324093,0.9324594979738363,326.3,33.1,14.8
0.52,0.9541947421531443,0.9062122692025273,0.9294677872776006,325.3,34.1,15.8
