IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9758147086588993,0.9124240137849892,0.9429187643571246,332.7,32.2,8.4
0.12,0.9758147086588993,0.9124240137849892,0.9429187643571246,332.7,32.2,8.4
0.14,0.9758147086588993,0.9124240137849892,0.9429187643571246,332.7,32.2,8.4
0.16,0.9758147086588993,0.9124240137849892,0.9429187643571246,332.7,32.2,8.4
0.18,0.9758147086588993,0.9124240137849892,0.9429187643571246,332.7,32.2,8.4
0.2,0.9755708062198749,0.9121977694410978,0.942684022573087,332.6,32.3,8.5
0.22,0.9755708062198749,0.9121977694410978,0.942684022573087,332.6,32.3,8.5
0.24,0.9752930284420971,0.911928227662122,0.9424104247618696,332.5,32.4,8.6
0.26,0.9752930284420971,0.911928227662122,0.9424104247618696,332.5,32.4,8.6
0.28,0.9750263617754305,0.9116800887043057,0.9421533553531292,332.4,32.5,8.7
0.3,0.9747167642522105,0.9113983985634606,0.9418583701023918,332.3,32.6,8.8
0.32,0.9747167642522105,0.9113983985634606,0.9418583701023918,332.3,32.6,8.8
0.34,0.9741593821893618,0.9108880633104783,0.9413255657252098,332.1,32.8,9.0
0.36,0.9730590184475018,0.909847836852129,0.9402562728011876,331.7,33.2,9.4
0.38,0.971600584695237,0.9084944021248266,0.938852355414231,331.2,33.7,9.9
0.4,0.9699750905080429,0.9069664838739524,0.9372773437949657,330.7,34.2,10.4
0.42,0.9685741847607627,0.9056348210227023,0.9359121254350236,330.2,34.7,10.9
0.44,0.9657944891354729,0.9030632167604559,0.9332408986556701,329.3,35.6,11.8
0.46,0.963342097161801,0.9007963389772149,0.9308849793675259,328.5,36.4,12.6
0.48,0.959998834884812,0.8976611534791255,0.9276494373949591,327.3,37.6,13.8
0.5,0.954728855223137,0.8927402949859179,0.9225605965989138,325.5,39.4,15.6
0.52,0.9527134739038567,0.8908436558748427,0.920606707231993,324.8,40.1,16.3
