IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9748940899333693,0.9173877020640454,0.9451959998398196,332.3,30.4,8.8
0.12,0.9748940899333693,0.9173877020640454,0.9451959998398196,332.3,30.4,8.8
0.14,0.9748940899333693,0.9173877020640454,0.9451959998398196,332.3,30.4,8.8
0.16,0.9745882795358156,0.9170970043896268,0.944897937246675,332.2,30.5,8.9
0.18,0.9745882795358156,0.9170970043896268,0.944897937246675,332.2,30.5,8.9
0.2,0.9745882795358156,0.9170970043896268,0.944897937246675,332.2,30.5,8.9
0.22,0.9740081332453245,0.9165649846851933,0.94434290163827,332.0,30.7,9.1
0.24,0.9740081332453245,0.9165649846851933,0.94434290163827,332.0,30.7,9.1
0.26,0.9740081332453245,0.9165649846851933,0.94434290163827,332.0,30.7,9.1
0.28,0.9737032551965441,0.9162768002471531,0.9440466053419737,331.9,30.8,9.2
0.3,0.9734365885298774,0.9160274236885495,0.9437888733832107,331.8,30.9,9.3
0.32,0.973192686090853,0.9158011793446581,0.9435541315991733,331.7,31.0,9.4
0.34,0.9726353040280042,0.9152892207150524,0.9430204361529533,331.5,31.2,9.6
0.36,0.9717961602971172,0.9145059122031954,0.9422102096673631,331.2,31.5,9.9
0.38,0.9706826806732929,0.9134782105214392,0.9411413601539724,330.8,31.9,10.3
0.4,0.9695136778153369,0.9123848565429963,0.9400115395214632,330.4,32.3,10.7
0.42,0.9653836879654536,0.9084922489266478,0.9360039922381439,329.0,33.7,12.1
0.44,0.9633101380319478,0.9065342779298311,0.9339900624799522,328.3,34.4,12.8
0.46,0.9597327043556731,0.903162501765603,0.9305187574516113,327.1,35.6,14.0
0.48,0.9558928363861341,0.8995713526020884,0.9268076770863927,325.8,36.9,15.3
0.5,0.9516075497066858,0.8955666520748122,0.9226676965983802,324.4,38.3,16.7
0.52,0.9479182915625941,0.8921168409330253,0.9191023482064443,323.1,39.6,18.0
