IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9468917795683565,0.9639524936094425,0.9552660153087731,322.6,12.3,18.5
0.12,0.9468917795683565,0.9639524936094425,0.9552660153087731,322.6,12.3,18.5
0.14,0.9468917795683565,0.9639524936094425,0.9552660153087731,322.6,12.3,18.5
0.16,0.946585969170803,0.963639013985618,0.9549564177855532,322.5,12.4,18.6
0.18,0.946585969170803,0.963639013985618,0.9549564177855532,322.5,12.4,18.6
0.2,0.946585969170803,0.963639013985618,0.9549564177855532,322.5,12.4,18.6
0.22,0.9462724895469785,0.9633255343617936,0.9546429381617287,322.4,12.5,18.7
0.24,0.9462724895469785,0.9633255343617936,0.9546429381617287,322.4,12.5,18.7
0.26,0.9462724895469785,0.9633255343617936,0.9546429381617287,322.4,12.5,18.7
0.28,0.9462724895469785,0.9633255343617936,0.9546429381617287,322.4,12.5,18.7
0.3,0.9460058228803119,0.9630574378470482,0.9543755584825844,322.3,12.6,18.8
0.32,0.9457619204412875,0.9628042732900862,0.9541271112776155,322.2,12.7,18.9
0.34,0.9457619204412875,0.9628042732900862,0.9541271112776155,322.2,12.7,18.9
0.36,0.9449227767104006,0.9619616931371613,0.9532863052550595,321.9,13.0,19.2
0.38,0.943287616869774,0.9603063067230245,0.9516412952264487,321.3,13.6,19.8
0.4,0.9421186140118181,0.9591127032945892,0.9504601733512157,320.9,14.0,20.2
0.42,0.938572212337266,0.9555016136286355,0.946881922885152,319.7,15.2,21.4
0.44,0.9362357828627597,0.9531069279162958,0.9445169030357187,318.9,16.0,22.2
0.46,0.9331127054724826,0.9499523407242165,0.9413783394831899,317.9,17.0,23.2
0.48,0.9298529837934348,0.9466567194498363,0.9381010204427802,316.8,18.1,24.3
0.5,0.9264545918707352,0.9432388163422167,0.9346930341949415,315.7,19.2,25.4
0.52,0.9224595233290899,0.9391721884977511,0.930662802692923,314.3,20.6,26.8
