IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9456492816918158,0.9649824963734132,0.9551123572326657,322.5,11.8,18.6
0.12,0.9456492816918158,0.9649824963734132,0.9551123572326657,322.5,11.8,18.6
0.14,0.9456492816918158,0.9649824963734132,0.9551123572326657,322.5,11.8,18.6
0.16,0.9453826150251492,0.9647158297067465,0.9548456905659991,322.4,11.9,18.7
0.18,0.9451159483584826,0.9644433501427138,0.9545761487870233,322.3,12.0,18.8
0.2,0.944810137960929,0.9641228373222009,0.9542631597416399,322.2,12.1,18.9
0.22,0.944810137960929,0.9641228373222009,0.9542631597416399,322.2,12.1,18.9
0.24,0.944810137960929,0.9641228373222009,0.9542631597416399,322.2,12.1,18.9
0.26,0.943999026849818,0.9632962488569028,0.9534445197035991,321.9,12.4,19.2
0.28,0.943999026849818,0.9632962488569028,0.9534445197035991,321.9,12.4,19.2
0.3,0.943999026849818,0.9632962488569028,0.9534445197035991,321.9,12.4,19.2
0.32,0.9436941488010374,0.9629959485566026,0.9531419478427822,321.8,12.5,19.3
0.34,0.9434502463620131,0.9627496431378834,0.9528968498035665,321.7,12.6,19.4
0.36,0.9417096987886101,0.9609727644660102,0.951138570122253,321.1,13.2,20.0
0.38,0.9410827395409612,0.9603276031756875,0.9505026400745582,320.9,13.4,20.2
0.4,0.9405102624767411,0.9597404236885081,0.9499229843625081,320.7,13.6,20.4
0.42,0.938197620675636,0.9573702224160409,0.9475820923070003,319.9,14.4,21.2
0.44,0.9348820879008768,0.953995739157046,0.944237799731804,318.8,15.5,22.3
0.46,0.9320784498990236,0.9511171277088428,0.9413973540539005,317.8,16.5,23.3
0.48,0.9297748627196281,0.9487582473430735,0.9390665722157241,317.0,17.3,24.1
0.5,0.9263778896521779,0.9452858512939585,0.935632738457074,315.9,18.4,25.2
0.52,0.9223891535810547,0.9412128719687848,0.9316026127210023,314.6,19.7,26.5
