IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.941664878686679,0.965481875000676,0.9532762381121154,321.0,11.6,20.1
0.12,0.9414209762476545,0.965222807643163,0.9530249818307084,320.9,11.7,20.2
0.14,0.9414209762476545,0.965222807643163,0.9530249818307084,320.9,11.7,20.2
0.16,0.9414209762476545,0.965222807643163,0.9530249818307084,320.9,11.7,20.2
0.18,0.9403341429520771,0.9641215703913568,0.9519312090900224,320.5,12.1,20.6
0.2,0.9403341429520771,0.9641215703913568,0.9519312090900224,320.5,12.1,20.6
0.22,0.9403341429520771,0.9641215703913568,0.9519312090900224,320.5,12.1,20.6
0.24,0.9403341429520771,0.9641215703913568,0.9519312090900224,320.5,12.1,20.6
0.26,0.9403341429520771,0.9641215703913568,0.9519312090900224,320.5,12.1,20.6
0.28,0.9403341429520771,0.9641215703913568,0.9519312090900224,320.5,12.1,20.6
0.3,0.9400273944858194,0.9638119728681371,0.951623042680161,320.4,12.2,20.7
0.32,0.9397177969625996,0.963497507459332,0.9513110301996617,320.3,12.3,20.8
0.34,0.9390985069412217,0.9628396056035727,0.9506730310950993,320.1,12.5,21.0
0.36,0.9386107020631729,0.9623214708885468,0.950170518532285,319.9,12.7,21.2
0.38,0.9365086801902169,0.9601723015174934,0.9480455894428296,319.2,13.4,21.9
0.4,0.9349786901337451,0.9585512285844375,0.9464716002481582,318.7,13.9,22.4
0.42,0.9338260667790339,0.9573498484678087,0.9452952431355202,318.3,14.3,22.8
0.44,0.9326681254020741,0.9561827102695342,0.9441327594500031,317.9,14.7,23.2
0.46,0.9309086957016334,0.9543711053850787,0.9423480610722208,317.3,15.3,23.8
0.48,0.9269576316309646,0.9503151678871797,0.9383459720318758,315.9,16.7,25.2
0.5,0.9226932904209966,0.9459725220862646,0.9340434038271205,314.5,18.1,26.6
0.52,0.9179859976176529,0.9410969474952291,0.9292544889508049,312.9,19.7,28.2
