IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9483142972208419,0.963445493579617,0.9557563351133276,323.2,12.3,17.9
0.12,0.9483142972208419,0.963445493579617,0.9557563351133276,323.2,12.3,17.9
0.14,0.9483142972208419,0.963445493579617,0.9557563351133276,323.2,12.3,17.9
0.16,0.9483142972208419,0.963445493579617,0.9557563351133276,323.2,12.3,17.9
0.18,0.9480476305541753,0.9631759518006412,0.9554882385985822,323.1,12.4,18.0
0.2,0.9480476305541753,0.9631759518006412,0.9554882385985822,323.1,12.4,18.0
0.22,0.9480476305541753,0.9631759518006412,0.9554882385985822,323.1,12.4,18.0
0.24,0.9480476305541753,0.9631759518006412,0.9554882385985822,323.1,12.4,18.0
0.26,0.9477427525053947,0.9628738369970158,0.9551847484620117,323.0,12.5,18.1
0.28,0.9474760858387281,0.9626057404822707,0.9549173687828674,322.9,12.6,18.2
0.3,0.9471664883155084,0.962289284786068,0.9546043797374839,322.8,12.7,18.3
0.32,0.9471664883155084,0.962289284786068,0.9546043797374839,322.8,12.7,18.3
0.34,0.946853008691684,0.9619697959681766,0.9542879240412814,322.7,12.8,18.4
0.36,0.9459974854575524,0.9611018861002668,0.9534262881509497,322.4,13.1,18.7
0.38,0.9448057183719543,0.9598974708880151,0.9522282390074865,322.0,13.5,19.1
0.4,0.9432475481155647,0.9583253398685094,0.9506631640909724,321.5,14.0,19.6
0.42,0.9418805177070381,0.9569290431277722,0.9492817160392688,321.0,14.5,20.1
0.44,0.9387911295835902,0.9538024691852822,0.9461740107388092,320.0,15.5,21.1
0.46,0.9357624734200318,0.9507391769182796,0.9431282378619613,319.0,16.5,22.1
0.48,0.9327250215405962,0.947636425688752,0.9400586294022188,317.9,17.6,23.2
0.5,0.9280772816521308,0.9429330916513601,0.9353833971866964,316.3,19.2,24.8
0.52,0.9257455716520641,0.9405595648880569,0.933031115250847,315.5,20.0,25.6
