IoU_Threshold,Recall,Precision,F1_Score,True_Positive_Count,False_Positive_Count,False_Negative_Count
0.1,0.9422430002503404,0.9652115479743291,0.9535372672554899,321.2,12.0,19.9
0.12,0.9422430002503404,0.9652115479743291,0.9535372672554899,321.2,12.0,19.9
0.14,0.9422430002503404,0.9652115479743291,0.9535372672554899,321.2,12.0,19.9
0.16,0.9422430002503404,0.9652115479743291,0.9535372672554899,321.2,12.0,19.9
0.18,0.9419362517840828,0.9648950922781265,0.9532257407757392,321.1,12.1,20.0
0.2,0.9419362517840828,0.9648950922781265,0.9532257407757392,321.1,12.1,20.0
0.22,0.9419362517840828,0.9648950922781265,0.9532257407757392,321.1,12.1,20.0
0.24,0.9416695851174162,0.9646255504991508,0.9529576442609938,321.0,12.2,20.1
0.26,0.9413647070686355,0.9643206724503702,0.9526527662122133,320.9,12.3,20.2
0.28,0.9410980404019689,0.9640481928863375,0.9523832244332375,320.8,12.4,20.3
0.3,0.9410980404019689,0.9640481928863375,0.9523832244332375,320.8,12.4,20.3
0.32,0.9404826324811955,0.9634071409035967,0.9517552809481513,320.6,12.6,20.5
0.34,0.9392854494233218,0.9621753537418863,0.950541048715334,320.2,13.0,20.9
0.36,0.9384841649214486,0.9613515199638929,0.9497286461142307,319.9,13.3,21.2
0.38,0.9364760183326059,0.9592714872588802,0.9476853540446353,319.2,14.0,21.9
0.4,0.9353461592055368,0.9581061576231658,0.9465381019748715,318.8,14.4,22.3
0.42,0.9347926592432927,0.9575370597191701,0.9459769114437003,318.6,14.6,22.5
0.44,0.9324970865309943,0.9551496987005519,0.9436365088844877,317.8,15.4,23.3
0.46,0.9289133045336712,0.9514571783007402,0.9399993519945399,316.6,16.6,24.5
0.48,0.9272858139193154,0.9497872027881261,0.9383509845944081,316.0,17.2,25.1
0.5,0.9232316031874814,0.9456482477048395,0.9342550405331698,314.6,18.6,26.5
0.52,0.9178397979646506,0.9401227283033646,0.9287975493685849,312.8,20.4,28.3
